"mhm_protocol","mhm_measuredDate","mhm_createDate","mhm_updateDate","mhm_publishDate","mhm_organizationId","mhm_organizationName","mhm_siteId","mhm_siteName","mhm_ExtraData","mhm_AbdomenCloseupPhotoUrls","mhm_LarvaeCount","mhm_MosquitoEggs","mhm_LocationAccuracyM","mhm_MosquitoEggCount","mhm_Comments","mhm_WaterSourcePhotoUrls","mhm_Latitude","mhm_Longitude","mhm_MosquitoHabitatMapperId","mhm_BreedingGroundEliminated","mhm_MeasuredAt","mhm_MeasurementElevation","mhm_Userid","mhm_Genus","mhm_LocationMethod","mhm_WaterSource","mhm_MosquitoAdults","mhm_Species","mhm_MosquitoPupae","mhm_DataSource","mhm_LarvaFullBodyPhotoUrls","mhm_LastIdentifyStage","mhm_WaterSourceType","mhm_GlobeTeams"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231984","47PPL152545","","","","","50","","","https://data.globe.gov/system/photos/2021/07/12/2327221/original.jpg; https://data.globe.gov/system/photos/2021/07/12/2327222/original.jpg","9.5381","100.0497","30483","false","2021-07-12T06:38:00","0","80448494","","automatic","cement, metal or plastic tank","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231984","47PPL152545","","","","","36","","","https://data.globe.gov/system/photos/2021/07/12/2327223/original.jpg","9.5384","100.0504","30484","false","2021-07-12T06:42:00","0","80448494","","automatic","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231984","47PPL152545","","","","","44","","","https://data.globe.gov/system/photos/2021/07/12/2327227/original.jpg","9.538","100.0504","30485","false","2021-07-12T06:43:00","0","80448494","","automatic","dish or pot","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231984","47PPL152545","","","","","44","","","https://data.globe.gov/system/photos/2021/07/12/2327231/original.jpg","9.538","100.0504","30486","false","2021-07-12T06:44:00","0","80448494","","automatic","cement, metal or plastic tank","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231984","47PPL152545","","","","","10","","","https://data.globe.gov/system/photos/2021/07/12/2327232/original.jpg; https://data.globe.gov/system/photos/2021/07/12/2327233/original.jpg","9.5383","100.0504","30487","false","2021-07-12T06:46:00","0","80448494","","automatic","animal trough or water bowl","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231984","47PPL152545","","","10","","16","","","https://data.globe.gov/system/photos/2021/07/12/2327234/original.jpg; https://data.globe.gov/system/photos/2021/07/12/2327235/original.jpg","9.5387","100.0502","30488","true","2021-07-12T06:48:00","0","80448494","","automatic","cement, metal or plastic tank","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231984","47PPL152545","","","15","","11","","","https://data.globe.gov/system/photos/2021/07/12/2327242/original.jpg","9.5387","100.0502","30489","true","2021-07-12T06:50:00","0","80448494","","automatic","cement, metal or plastic tank","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231984","47PPL152545","","","40","","11","","","https://data.globe.gov/system/photos/2021/07/12/2327243/original.jpg; https://data.globe.gov/system/photos/2021/07/12/2327244/original.jpg","9.5387","100.0502","30490","true","2021-07-12T06:51:00","0","80448494","","automatic","cement, metal or plastic tank","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231984","47PPL152545","","","","","13","","","https://data.globe.gov/system/photos/2021/07/12/2327245/original.jpg","9.5387","100.0502","30491","true","2021-07-12T06:52:00","0","80448494","","automatic","discarded: other","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
"mosquito_habitat_mapper","2021-07-12","2022-06-28T15:44:04","2022-06-28T15:44:04","2022-06-28T16:50:17","17615655","Thailand Citizen Science","231989","47PPL153547","","","","","21","","","https://data.globe.gov/system/photos/2021/07/12/2327255/original.jpg; https://data.globe.gov/system/photos/2021/07/12/2327256/original.jpg","9.54","100.0511","30492","false","2021-07-12T06:57:00","0","80448494","","automatic","fountain or bird bath","","","false","GLOBE Observer App","","identify","container: artificial","[WalailakSTEM]"
